order_id,to_place,to_county,city,country,img,link_exam_id,src_id,lat,lng,place_add,place,county,src,problem
WCCDRV36900_0171,St Bride,London,,England,WCCDRV369000084,WCCDEP358110294,ID_30049,51.5139217583598,-0.106051351442049,Bridewell Precinct,st bride,middlesex,llp,
WCCDRV36900_0170,St George Hanover Square,London,Westminster,England,WCCDRV369000084,WCCDEP358110291,ID_30022,51.5003023444484,-0.150631188088614,,st george hanover square,middlesex,llp,
WCCDRV36900_0174,St Andrew Holborn,London,,England,WCCDRV369000085,WCCDEP358110293,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0172,St Margaret Westminster,London,Westminster,England,WCCDRV369000085,WCCDEP358110292,ID_127869,51.5000124214514,-0.132021851098109,,st margaret westminster,middlesex,llp,
WCCDRV36900_0177,St Dunstan in the West,London,,England,WCCDRV369000086,WCCDEP358110298,ID_127855,51.5145513828789,-0.109643937969772,,st dunstan in the west,middlesex,llp,
WCCDRV36900_0176,St James Garlick,London,,England,WCCDRV369000086,WCCDEP358110295,ID_30076,51.5104909142728,-0.0941585350282806,,st james garlick,middlesex,llp,
WCCDRV36900_0178,St James Westminster,London,Westminster,England,WCCDRV369000087,WCCDEP358110299,ID_30024,51.5103215203673,-0.137052077920466,,st james westminster,middlesex,llp,
WCCDRV36900_0180,St Olave Southwark,Surrey,Southwark,England,WCCDRV369000087,WCCDEP358110303,ID_30002,51.505140473911,-0.0843917292620701,,st olave southwark,surrey,llp,
WCCDRV36900_0181,St Anne Blackfriars,London,,England,WCCDRV369000088,WCCDEP358110305,ID_30055,51.5122264242181,-0.1032663894958,,st anne blackfriars,middlesex,llp,
WCCDRV36900_0183,St Giles in the Fields,London,Westminster,England,WCCDRV369000088,WCCDEP358110312,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0182,St Giles in the Fields,London,Westminster,England,WCCDRV369000088,WCCDEP358110308,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0186,St Andrew Holborn,London,,England,WCCDRV369000089,WCCDEP358110323,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0185,St Martin in the Fields,London,Westminster,England,WCCDRV369000089,WCCDEP358110319,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0189,St Giles Cripplegate,London,,England,WCCDRV369000090,WCCDEP358110329,ID_30100,51.5194953573413,-0.0928688355224425,,st giles cripplegate,middlesex,llp,
WCCDRV36900_0191,St Giles in the Fields,London,Westminster,England,WCCDRV369000091,WCCDEP358110333,ID_30018,51.5169229110386,-0.125288773439343,,st giles in the fields,middlesex,llp,
WCCDRV36900_0193,St Edmund the King,London,,England,WCCDRV369000092,WCCDEP358110340,ID_30128,51.5123112001102,-0.0863277694035919,,st edmund the king,middlesex,llp,
WCCDRV36900_0198,St Andrew Holborn,London,,England,WCCDRV369000093,WCCDEP358110348,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0200,St Bartholomew the Great,London,,England,WCCDRV369000094,WCCDEP358110352,ID_30059,51.518737064016,-0.0987804784103829,,st bartholomew the great,middlesex,llp,
WCCDRV36900_0204,St Bartholomew the Great,London,,England,WCCDRV369000095,WCCDEP358110359,ID_30059,51.518737064016,-0.0987804784103829,,st bartholomew the great,middlesex,llp,
WCCDRV36900_0202,St Paul Covent Garden,London,Westminster,England,WCCDRV369000095,WCCDEP358110358,ID_30031,51.511827996562,-0.122892804930355,,st paul covent garden,middlesex,llp,
WCCDRV36900_0206,St Martin in the Fields,London,Westminster,England,WCCDRV369000096,WCCDEP358110363,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0205,St Stephen Coleman Street,London,,England,WCCDRV369000096,WCCDEP358110360,ID_30102,51.5172051353953,-0.0878636112026648,,st stephen coleman street,middlesex,llp,
WCCDRV36900_0209,St Margaret Westminster,London,Westminster,England,WCCDRV369000097,WCCDEP358110356,ID_127869,51.5000124214514,-0.132021851098109,,st margaret westminster,middlesex,llp,
WCCDRV36900_0211,St Anne Blackfriars,London,,England,WCCDRV369000098,WCCDEP358110371,ID_30055,51.5122264242181,-0.1032663894958,,st anne blackfriars,middlesex,llp,
WCCDRV36900_0214,St James Westminster,London,Westminster,England,WCCDRV369000099,WCCDEP358120036,ID_30024,51.5103215203673,-0.137052077920466,,st james westminster,middlesex,llp,
WCCDRV36900_0215,St Martin in the Fields,London,Westminster,England,WCCDRV369000099,WCCDEP358120039,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0218,St Marylebone,London,,England,WCCDRV369000100,WCCDEP358120046,ID_30020,51.5223448077445,-0.155333629108844,,st marylebone,middlesex,llp,
WCCDRV36900_0220,St George the Martyr,London,,England,WCCDRV369000101,WCCDEP358120049,ID_30187,51.5207398387893,-0.120148642877833,,st george the martyr,middlesex,llp,
WCCDRV36900_0222,St Dunstan in the West,London,,England,WCCDRV369000101,WCCDEP358120053,ID_127855,51.5145513828789,-0.109643937969772,,st dunstan in the west,middlesex,llp,
WCCDRV36900_0224,Liberty of the Rolls,London,,England,WCCDRV369000102,WCCDEP358120055,ID_30036,51.5154273321053,-0.111635223492053,,liberty of the rolls,middlesex,llp,
WCCDRV36900_0223,St Anne Soho,London,Westminster,England,WCCDRV369000102,WCCDEP358120054,ID_30023,51.5135027003465,-0.131408717898808,,st anne soho,middlesex,llp,
WCCDRV36900_0225,St Sepulchre,London,,England,WCCDRV369000102,WCCDEP358120057,ID_30058,51.5185410351372,-0.102563711755471,,st sepulchre,middlesex,llp,
WCCDRV36900_0227,St James Westminster,London,Westminster,England,WCCDRV369000103,WCCDEP358120061,ID_30024,51.5103215203673,-0.137052077920466,,st james westminster,middlesex,llp,
WCCDRV36900_0226,St Anne Soho,London,Westminster,England,WCCDRV369000103,WCCDEP358120060,ID_30023,51.5135027003465,-0.131408717898808,,st anne soho,middlesex,llp,
WCCDRV36900_0233,St Sepulchre,London,,England,WCCDRV369000105,WCCDEP358120057,ID_30058,51.5185410351372,-0.102563711755471,,st sepulchre,middlesex,llp,
WCCDRV36900_0237,St George the Martyr,London,,England,WCCDRV369000106,WCCDEP358120073,ID_30187,51.5207398387893,-0.120148642877833,,st george the martyr,middlesex,llp,
WCCDRV36900_0239,St Paul Covent Garden,London,Westminster,England,WCCDRV369000107,WCCDEP358120074,ID_30031,51.511827996562,-0.122892804930355,,st paul covent garden,middlesex,llp,
WCCDRV36900_0244,St Luke Old Street,London,,England,WCCDRV369000109,WCCDEP358120082,ID_30164,51.5250721285286,-0.092917709024013,,st luke old street,middlesex,llp,
WCCDRV36900_0245,St Olave Southwark,Surrey,Southwark,England,WCCDRV369000109,WCCDEP358120083,ID_30002,51.505140473911,-0.0843917292620701,,st olave southwark,surrey,llp,
WCCDRV36900_0249,St Dunstan in the West,London,,England,WCCDRV369000110,WCCDEP358120088,ID_127855,51.5145513828789,-0.109643937969772,,st dunstan in the west,middlesex,llp,
WCCDRV36900_0247,St John Zachary,London,,England,WCCDRV369000110,WCCDEP358120085,ID_30080,51.5158606060803,-0.0958291852019459,,st john zachary,middlesex,llp,
WCCDRV36900_0252,St Andrew Holborn,London,,England,WCCDRV369000111,WCCDEP358120094,ID_127848,51.5203233068248,-0.11395076765732,,st andrew holborn,middlesex,llp,
WCCDRV36900_0250,St George Hanover Square,London,Westminster,England,WCCDRV369000111,WCCDEP358120087,ID_30022,51.5003023444484,-0.150631188088614,,st george hanover square,middlesex,llp,
WCCDRV36900_0255,St John Horselydown,Surrey,Southwark,England,WCCDRV369000112,WCCDEP358120098_218,ID_30003,51.5031132221463,-0.0764270774695373,,st john horselydown,surrey,llp,
WCCDRV36900_0258,St Botolph Aldersgate,London,,England,WCCDRV369000113,WCCDEP358120104,ID_30061,51.5186592691859,-0.0972733561497866,,st botolph aldersgate,middlesex,llp,
WCCDRV36900_0256,St Katherine Creechurch,London,,England,WCCDRV369000113,WCCDEP358120101,ID_30156,51.5134617985296,-0.078942902305062,,st katherine creechurch,middlesex,llp,
WCCDRV36900_0266,All Hallows Barking,London,,England,WCCDRV369000116,WCCDEP358120106,ID_30161,51.5087322071093,-0.0800132858893192,,all hallows barking,middlesex,llp,
WCCDRV36900_0265,St James Westminster,London,Westminster,England,WCCDRV369000116,WCCDEP358120105,ID_30024,51.5103215203673,-0.137052077920466,,st james westminster,middlesex,llp,
WCCDRV36900_0270,St James Westminster,London,Westminster,England,WCCDRV369000117,WCCDEP358120117,ID_30024,51.5103215203673,-0.137052077920466,,st james westminster,middlesex,llp,
WCCDRV36900_0268,St Martin in the Fields,London,Westminster,England,WCCDRV369000117,WCCDEP358120112,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0272,St Gregory by St Paul's,London,,England,WCCDRV369000118,WCCDEP358120121,ID_30067,51.5134913846538,-0.0992803692625605,,st gregory by st paul's,middlesex,llp,
WCCDRV36900_0276,St John the Evangelist Westminster,London,Westminster,England,WCCDRV369000119,WCCDEP358120127,ID_30025,51.4930677780849,-0.130047579937881,,st john the evangelist westminster,middlesex,llp,
WCCDRV36900_0279,St Martin in the Fields,London,Westminster,England,WCCDRV369000120,WCCDEP358120133,ID_30034,51.5066196410971,-0.132157327910045,,st martin in the fields,middlesex,llp,
WCCDRV36900_0280,St George Hanover Square,London,Westminster,England,WCCDRV369000121,WCCDEP358120133,ID_30022,51.5003023444484,-0.150631188088614,,st george hanover square,middlesex,llp,
WCCDRV36900_0282,St George Hanover Square,London,Westminster,England,WCCDRV369000121,WCCDEP358120159,ID_30022,51.5003023444484,-0.150631188088614,,st george hanover square,middlesex,llp,
